GMT Time,Loss of Load Probability - Latest - GB (),Actual Total Load - GB (MW),Demand Outturn (ITSDO) - GB (MW)
2018-01-01T00:00:00,0,30303,26413
2018-01-01T00:30:00,0,31096,27130
2018-01-01T01:00:00,0,30599,27378
2018-01-01T01:30:00,0,29402,26746
2018-01-01T02:00:00,0,28096,26169
2018-01-01T02:30:00,0,27278,25759
2018-01-01T03:00:00,0,25882,25482
2018-01-01T03:30:00,0,24911,24561
2018-01-01T04:00:00,0,24144,24022
2018-01-01T04:30:00,0,23812,23805
2018-01-01T05:00:00,0,23648,23861
2018-01-01T05:30:00,0,24005,23851
2018-01-01T06:00:00,0,24964,24720
2018-01-01T06:30:00,0,25384,25170
2018-01-01T07:00:00,0,25851,24881
2018-01-01T07:30:00,0,26463,24590
2018-01-01T08:00:00,0,27325,25050
2018-01-01T08:30:00,0,28484,26217
2018-01-01T09:00:00,0,31217,27494
2018-01-01T09:30:00,0,32480,28640
2018-01-01T10:00:00,0,34855,29831
2018-01-01T10:30:00,0,35955,30765
2018-01-01T11:00:00,0,37510,31802
2018-01-01T11:30:00,0,38457,32451
2018-01-01T12:00:00,0,39200,32950
2018-01-01T12:30:00,0,39397,33146
2018-01-01T13:00:00,0,39619,33483
2018-01-01T13:30:00,0,38806,33412
2018-01-01T14:00:00,0,39001,33563
2018-01-01T14:30:00,0,38438,33615
2018-01-01T15:00:00,0,38722,34171
2018-01-01T15:30:00,0,39229,35084
2018-01-01T16:00:00,0,40642,36750
2018-01-01T16:30:00,0,42894,38943
2018-01-01T17:00:00,0,43512,39606
2018-01-01T17:30:00,0,43092,39259
2018-01-01T18:00:00,0,42214,38341
2018-01-01T18:30:00,0,41588,37741
2018-01-01T19:00:00,0,40198,36778
2018-01-01T19:30:00,0,39079,35633
2018-01-01T20:00:00,0,38240,34518
2018-01-01T20:30:00,0,36978,33187
2018-01-01T21:00:00,0,35503,32131
2018-01-01T21:30:00,0,33951,30740
2018-01-01T22:00:00,0,31982,29332
2018-01-01T22:30:00,0,30608,27905
2018-01-01T23:00:00,0,28361,27064
2018-01-01T23:30:00,0,26825,26498
2018-01-02T00:00:00,0,26852,26236
2018-01-02T00:30:00,0,27787,26880
2018-01-02T01:00:00,0,27783,26851
2018-01-02T01:30:00,0,27102,26575
2018-01-02T02:00:00,0,26903,26213
2018-01-02T02:30:00,0,26896,26303
2018-01-02T03:00:00,0,26657,26331
2018-01-02T03:30:00,0,25985,26157
2018-01-02T04:00:00,0,25880,26049
2018-01-02T04:30:00,0,26004,25996
2018-01-02T05:00:00,0,27491,26538
2018-01-02T05:30:00,0,29154,26977
2018-01-02T06:00:00,0,32571,28760
2018-01-02T06:30:00,0,34909,30860
2018-01-02T07:00:00,0,36958,33352
2018-01-02T07:30:00,0,38581,34815
2018-01-02T08:00:00,0,41062,36621
2018-01-02T08:30:00,0,42559,38126
2018-01-02T09:00:00,0,44112,39674
2018-01-02T09:30:00,0,44937,40637
2018-01-02T10:00:00,0,45600,41271
2018-01-02T10:30:00,0,46073,41487
2018-01-02T11:00:00,0,46367,41794
2018-01-02T11:30:00,0,46816,41986
2018-01-02T12:00:00,0,47171,42287
2018-01-02T12:30:00,0,47109,42390
2018-01-02T13:00:00,0,47007,42266
2018-01-02T13:30:00,0,47214,41974
2018-01-02T14:00:00,0,46556,41833
