GMT Time,"Day Ahead Price (EPEX half-hourly, local) - GB (LC/MWh)","Intraday Price (EPEX Outturn, APX, MID) - GB (£/MWh)"
2018-01-01T00:00:00,46.73,47.27
2018-01-01T00:30:00,50.11,48.57
2018-01-01T01:00:00,56.6,52.32
2018-01-01T01:30:00,51.83,51.18
2018-01-01T02:00:00,46.23,46.08
2018-01-01T02:30:00,46.08,46.01
2018-01-01T03:00:00,38.9,39.24
2018-01-01T03:30:00,38.5,37.6
2018-01-01T04:00:00,23.41,36.62
2018-01-01T04:30:00,22.5,35.65
2018-01-01T05:00:00,20.78,38.28
2018-01-01T05:30:00,22.61,40.21
2018-01-01T06:00:00,28.96,44.55
2018-01-01T06:30:00,28.5,43.72
2018-01-01T07:00:00,30,47.66
2018-01-01T07:30:00,29.09,49.47
2018-01-01T08:00:00,23,43.89
2018-01-01T08:30:00,25.82,47.66
2018-01-01T09:00:00,42,43.31
2018-01-01T09:30:00,42,41.53
2018-01-01T10:00:00,47.89,45.01
2018-01-01T10:30:00,48,45.04
2018-01-01T11:00:00,42,53.47
2018-01-01T11:30:00,43.4,59.07
2018-01-01T12:00:00,50.92,57.29
2018-01-01T12:30:00,50.98,58.39
2018-01-01T13:00:00,55,56.59
2018-01-01T13:30:00,55,58.24
2018-01-01T14:00:00,54.82,54.55
2018-01-01T14:30:00,51,51.25
2018-01-01T15:00:00,50,57.96
2018-01-01T15:30:00,50,59.5
2018-01-01T16:00:00,56,61.51
2018-01-01T16:30:00,69.47,63.3
2018-01-01T17:00:00,74.1,61.7
2018-01-01T17:30:00,71.1,60.02
2018-01-01T18:00:00,59.47,57.36
2018-01-01T18:30:00,54.85,54.29
2018-01-01T19:00:00,50.89,44.99
2018-01-01T19:30:00,50.89,45.86
2018-01-01T20:00:00,50.89,47.7
2018-01-01T20:30:00,50.89,44.73
2018-01-01T21:00:00,50.54,45.79
2018-01-01T21:30:00,47.37,45.55
2018-01-01T22:00:00,43.46,44.94
2018-01-01T22:30:00,38.86,44.63
2018-01-01T23:00:00,33.96,44.13
2018-01-01T23:30:00,33.96,38.35
2018-01-02T00:00:00,44.88,39.23
2018-01-02T00:30:00,47.85,39.59
2018-01-02T01:00:00,50,37.98
2018-01-02T01:30:00,47,37.84
2018-01-02T02:00:00,45.59,36.36
2018-01-02T02:30:00,45.73,36.73
2018-01-02T03:00:00,45.88,40.04
2018-01-02T03:30:00,45.43,42.98
2018-01-02T04:00:00,44.98,41.16
2018-01-02T04:30:00,44.15,42.01
2018-01-02T05:00:00,45.35,53.24
2018-01-02T05:30:00,41.99,54.15
2018-01-02T06:00:00,52,57.07
2018-01-02T06:30:00,47,46.97
2018-01-02T07:00:00,42.85,42.56
2018-01-02T07:30:00,47.44,47.04
2018-01-02T08:00:00,54,50.67
2018-01-02T08:30:00,56,52.35
2018-01-02T09:00:00,72.92,49.58
2018-01-02T09:30:00,72.92,49.21
2018-01-02T10:00:00,66.33,49.74
2018-01-02T10:30:00,66.33,50.69
2018-01-02T11:00:00,66.15,51.08
2018-01-02T11:30:00,66.15,51.29
2018-01-02T12:00:00,56,50.65
2018-01-02T12:30:00,56,48.95
2018-01-02T13:00:00,46,45.47
2018-01-02T13:30:00,45.49,44.5
2018-01-02T14:00:00,49.74,44.95
2018-01-02T14:30:00,47.48,44.43
2018-01-02T15:00:00,44.31,52.77
2018-01-02T15:30:00,44.91,54.08
2018-01-02T16:00:00,56.15,52.36
2018-01-02T16:30:00,76.76,No Data Available
2018-01-02T17:00:00,76.01,71.32
2018-01-02T17:30:00,80,71.32
2018-01-02T18:00:00,72.02,69.85
2018-01-02T18:30:00,59,63.56
2018-01-02T19:00:00,55.65,58.6
2018-01-02T19:30:00,55.65,53.31
2018-01-02T20:00:00,55.59,52.1
2018-01-02T20:30:00,55,48.35
2018-01-02T21:00:00,43.67,49.7
2018-01-02T21:30:00,45,46.55
2018-01-02T22:00:00,40,46.24
2018-01-02T22:30:00,35,45.96
2018-01-02T23:00:00,48.8,47.32
2018-01-02T23:30:00,46.45,42.01
2018-01-03T00:00:00,45.17,44.83
